movie_id,片名,年份,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,海报URL,豆瓣评分,剧情简介
34825886,熊出没·狂野大陆,2021,丁亮 / 邵和麒,徐芸 / 崔铁志 / 张宇,张伟 / 张秉君 / 谭笑,喜剧 / 科幻 / 动画,中国大陆,汉语普通话,2021-02-12(中国大陆) / 2020-08-01(上海电影节),99分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2631708261.webp,6.2,狗熊岭附近新开业了一个神奇的“狂野大陆”，在那里，通过基因技术人可以自由变身各种动物，享受无比的自由和快乐。导游事业受挫的光头强，阴差阳错与神秘人乐天和熊二组队，参加乐园里奖金丰厚的比赛，却遭遇了队友乐天的背叛，历尽艰险终于获得冠军之际，却意外发现狂野大陆里隐藏着惊天的阴谋......
34880302,人潮汹涌,2021,饶晓志,饶晓志 / 范翔 / 李想,刘德华 / 肖央 / 万茜 / 程怡 / 黄小蕾 / 国义骞 / 狄志杰 / 郭京飞 / 刘天佐 / 路阳 / 郭帆 / 刘浩良 / 饶晓志 / 雷佳音 / 史航 / 魏之皓 / 王学兵 / 林海 / 隋凯 / 卫莱 / 邵逸凡,喜剧 / 犯罪,中国大陆 / 中国香港,汉语普通话,2021-02-12(中国大陆),119分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632862664.webp,6.5,陈小萌（肖央 饰）一直渴望成为一名演员，但残酷的现实令他至今扔在龙套的位置上苦苦挣扎。没钱没工作没恋人没朋友还欠了一大笔钱的陈小萌想到了死，可是就连死神都抛弃了他，他数次自杀都以失败告终。                                                                      　　一天，陈小萌去澡堂泡澡，意外邂逅了一位神秘且富有的男子（刘德华 饰），该男子在澡堂里意外摔倒昏迷被送进了医院，拾得了他的储物室手环的陈小萌决定顶替他的身份，享受一下富人的生活。头部的撞击令男子失忆了，凭借着零星的线索，他认定自己是陈小萌，并且顺藤摸瓜来到了陈小萌的出租屋，希望熟悉的环境能够令他更快的恢复记忆。在此过程中，男子邂逅了名为李想（万茜 饰）的自媒体人，两人之间碰撞出了火花。
34841067,你好，李焕英,2021,贾玲,贾玲 / 孙集斌 / 王宇 / 刘宏禄 / 卜钰 / 郭宇鹏更多...,贾玲 / 张小斐 / 沈腾 / 陈赫 / 刘佳 / 丁嘉丽 / 王琳 / 杜源 / 何翯 / 何欢 / 韩云云 / 包文婧 / 葛珊珊 / 史策 / 黄小猫 / 许君聪 / 卜钰 / 刘宏禄 / 魏翔 / 孙集斌 / 张泰维 / 郭宇鹏 / 朱天福 / 冯巩 / 乔杉 / 王小利 / 宋晓峰 / 董若溪 / 曹贺军 / 赵婷婷 / 姬晴 / 郭祥鹏 / 李一峰 / 潘斌龙,剧情 / 喜剧 / 奇幻,中国大陆,汉语普通话,2021-02-12(中国大陆),128分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2629056068.webp,7.7,一场意外，改变了一对母女的命运。病床上的母亲李焕英（刘佳 饰）昏迷不醒，女儿贾晓玲（贾玲 饰）涕泗横流，唯恐与母亲阴阳两隔。恍惚之中，晓玲突然穿越到久远以前的陌生时代，并在那里意外邂逅尚待字闺中的青年李焕英（张小斐 饰）。在此之后，晓玲以远亲相称，成为妈妈形影不离的好姐妹。许是见证了妈妈数十年来的劳苦辛酸，晓玲希望通过努力改变妈妈的命运，让她变成一个幸福快乐、富足无忧的女人。而一系列搞笑、感人的小故事，就围绕这对姐妹花母女展开……                                                                      　　本片根据贾玲取材自身经历创作的同名小品改编。
26826330,刺杀小说家,2021,路阳,陈舒 / 禹扬 / 秦海燕 / 路阳,雷佳音 / 杨幂 / 董子健 / 于和伟 / 郭京飞 / 佟丽娅 / 董洁 / 王圣迪 / 杨轶 / 刘天佐 / 李柄辉 / 萧子墨 / 双雪涛 / 徐建 / 刘迅 / 李士刚 / 袁帅 / 任杰 / 李军 / 陈铁军 / 李泰延 / 张优 / 张戈 / 谭天宇 / 虞书欣 / 高睿菲儿 / 吴振熙 / 王为成 / 黄皓达 / 韩陌 / 赵尤若男 / 康嘉泽 / 王洁 / 伍艺 / 张懿 / 李楠 / 关乐 / 马一萍,动作 / 奇幻 / 冒险,中国大陆,汉语普通话,2021-02-12(中国大陆),130分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2628440875.webp,6.5,异世界皇都，天神赤发鬼残暴统治，滥杀无辜。少年空文因被赤发鬼追杀，决定奋起反击。在黑甲（郭京飞 饰）的指引下，踏上了凡人弑神之路。这是小说家路空文（董子健 饰）笔下的奇幻世界。没想到小说的进程，竟然影响着现实世界。这时一名男子（雷佳音 饰）接下了刺杀他的任务……
27619748,唐人街探案3,2021,陈思诚,陈思诚 / 张淳 / 刘吾驷 / 莲舟 / 严以宁,王宝强 / 刘昊然 / 妻夫木聪 / 托尼·贾 / 长泽雅美 / 染谷将太 / 铃木保奈美 / 浅野忠信 / 三浦友和 / 尚语贤 / 肖央 / 张子枫 / 邱泽 / 张钧甯 / 马伯骞 / 程潇 / 陈哲远 / 李明轩 / 崔雨鑫 / 张一白 / 文咏珊 / 张熙然 / 克拉拉 / 树林伸 / 刘德华 / 陈思诚 / 平山日和 / 奥田瑛二 / 六平直政 / 酒向芳 / 秋成勋 / 桥本爱实 / 长井短 / 宇治清高 / 张国强 / 大鹏 / 陈祉希 / 林沐然 / 田代良德,喜剧 / 悬疑,中国大陆 / 中国香港 / 日本,汉语普通话 / 日语 / 英语 / 泰语,2021-02-12(中国大陆),136分钟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2622388983.webp,5.3,为了争夺东京新唐人街的开发权，东南亚帮派与日本黑帮组织黑龙会纷争不断。为了避免冲突升级，合作共赢，东南亚商会会长苏察维邀请黑龙会头目渡边胜（三浦友和 饰）谈判。谈判地点设在四面环水的日式茶室，室内只有双方头目而已。谁知谈判开始没多久，室内就传来惨叫声。众人涌入后发现，苏察维被打碎的屏风玻璃杀害，而躺在一旁的渡边胜则满手鲜血。突发意外将双方敌意再度拉至顶点，为了证明清白，渡边通过侦探野田昊（妻木夫聪 饰）找来了秦风（刘昊然 饰）和唐仁（王宝强 饰），试图揭开密实杀人案的真相。                                                                      　　危机四伏的东京街头，这三个绝命侦探抽丝剥茧发现了令人难以置信的事实……
34779692,新神榜：哪吒重生,2021,赵霁,王微,杨天翔 / 张赫 / 宣晓鸣 / 李诗萌 / 朱可儿 / 凌振赫 / 刘若班 / 张遥函 / 张喆 / 高增志 / 郭浩然,动作 / 动画 / 奇幻,中国大陆,汉语普通话,2021-02-12(中国大陆),116分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2631711326.webp,6.8,三千年前，天下动荡，人神共遇大劫，不想哪吒的一缕魂魄逃脱天罗地网，世世转世投胎，这一世与东海市酷爱机车的热血青年李云祥人神共生。然而龙族对哪吒恩怨并未善罢甘休，有着哪吒元神的李云祥，亦无法逃脱被龙族赶尽杀绝的宿命。东海危在旦夕，李云祥是否能够与哪吒元神并肩作战，成为抵抗龙族的英雄？东海市的子民能否得到拯救？
35608160,喜羊羊与灰太狼之筐出未来,2022,黄伟明,吴潮威 / 刘维 / 刘泽敏 / 耿漪淼,祖晴 / 张琳 / 邓玉婷 / 梁颖 / 刘红韵 / 高全胜 / 赵娜,喜剧 / 动画 / 运动,中国大陆,汉语普通话 / 粤语,2022-02-01(中国大陆) / 2026-05-29(中国大陆重映),94分钟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2932452962.webp,6.7,喜羊羊、灰太狼与一众小羊组成的守护者队进入篮球顶级赛事决赛，但却意外地败北，团队分崩离析。                                                                      　　虽然各散东西，但对篮球的热爱和对冠军的渴望让大家再次组队，参加新一届大赛，然而这次的对手更强大，他们面临更大的挑战！
35337517,四海,2022,韩寒,韩寒,刘昊然 / 刘浩存 / 沈腾 / 尹正 / 乔杉 / 周奇 / 张宥浩 / 冯绍峰 / 黄晓明 / 王彦霖 / 陈小春 / 吴彦姝 / 万梓良 / 赵子琪,喜剧 / 动作 / 爱情,中国大陆,汉语普通话,2022-02-01(中国大陆),128分钟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2867433563.webp,5.3,一个偏僻的临海小镇，黄发小青年吴仁耀（刘昊然 饰）依靠摩托特技为生，他喜欢上了美丽女孩周欢颂（刘浩存 饰），谁知却因此招惹上了欢颂的哥哥周欢歌（尹正 饰）。欢歌颇为欣赏阿耀的车技，于是将其招入自己的车队。阿耀为欢歌的豪爽直率所感染，无奈笑语欢歌有穷尽，这位车队大佬意外身亡，将青年男女的幻想彻底打破。巨额的债务转嫁到欢颂身上，逼不得已，阿耀只得和女孩前往大城市打拼。在这一过程中，男孩还重逢了久未见面的父亲吴仁腾（沈腾 饰）。                                                                      　　生活巨变，时代沧桑，畸零之人随波逐流，又奋楫博浪……
35312437,奇迹·笨小孩,2022,文牧野,周楚岑 / 修梦迪 / 文牧野 / 韩晓邯 / 钟伟,易烊千玺 / 田雨 / 陈哈琳 / 齐溪 / 公磊 / 许君聪 / 王宁 / 黄尧 / 巩金国 / 田壮壮 / 王传君 / 章宇 / 张志坚 / 咏梅 / 杨新鸣 / 徐峥 / 岳小军 / 朱俊麟 / 王丽涵 / 贾弘逍 / 韩德笑 / 孙征宇 / 黄艺馨 / 修梦迪 / 苏子航 / 郑伊倩 / 丁文博 / 陈翊曈,剧情,中国大陆,汉语普通话,2022-02-01(中国大陆),106分钟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2842327103.webp,7.4,二十岁的景浩（易烊千玺 饰）独自带着年幼的妹妹来到深圳生活，兄妹俩生活温馨却拮据。为了妹妹高昂的手术费，机缘巧合之下，景浩得到一个机会，本以为美好生活即将来临，却不料遭遇重创。在时间和金钱的双重压力下，毫无退路的景浩决定孤注一掷，而他陷入困境的平凡人生，又能否燃起希望的火花？                                                                      　　电影《奇迹》是中宣部国家电影局2021年重点电影项目，也是2021年重点建党百年献礼片，描述十八大以后新时代年轻人在深圳创业的影片。
35377026,熊出没·重返地球,2022,林汇达,万秦 / 徐芸 / 蒋琳,张秉君 / 张伟 / 谭笑 / 李婉瑶 / 程子洋 / 刘思奇,喜剧 / 动画 / 儿童,中国大陆,汉语普通话,2022-02-01(中国大陆),99分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2856825681.webp,6.5,有点懒又有点馋的熊二虽然总是各种失误犯错，内心却一直梦想成为一位英雄，以此获得大家特别是哥哥熊大的认可。                                                                      　　一块外星原核的坠落打破了狗熊岭的平静，熊二意外的与外星原核合体，成为了拥有外星智慧能量的熊！随之而来的是“外星人”阿布的抢夺。阿布为了夺回原核，故意制造事端，让熊二众叛亲离。就在阿布将要成功的时候，一支神秘高科技军团的攻击彻底打乱了计划，导致熊强组合甚至整个地球于巨大的危难之中。                                                                      　　阿布隐藏的身份以及来到地球的真正目的到底是什么？神秘的高科技军团背后有何故事？自暴自弃的熊二能否振作起来实现他的英雄梦？他们能否挽救地球的危机？
35215390,狙击手,2022,张艺谋 / 张末,陈宇 / 张艺谋,陈永胜 / 章宇 / 张译 / 刘奕铁 / 黄炎 / 王梓屹 / 陈铭杨 / 王乃训 / 程泓鑫 / 赵琥成 / 李汶聪 / 林博洋 / 王佑名 / 代文博 / 李鲲 / 曹操 / 柯国庆 / 钱焜 / 暗真 / 柯南·何裴 / 李凯文 / 勃小龙 / 孟丹青 / 叶风光,剧情 / 历史 / 战争,中国大陆,汉语普通话 / 英语,2022-02-01(中国大陆),96分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2738601191.webp,7.7,1952年冬至1953年初，抗美援朝战争进入僵持阶段。交战双方开始了低密度的狙击战，这就是历史上著名的“冷枪冷炮运动”。志愿军一方，班长刘文武（章宇 饰）带领的狙击五班本领过硬，枪法绝神，战功赫赫的同时，也成为了美军忌惮憎恶的红色杀神。为了打击狙击五班的“嚣张气焰”，美军司令部调来了约翰（曹操 Jonathan Kos-Read 饰）率领的狙击小队试图捉住章宇。而自视甚高的约翰仰仗着高超的枪击和先进的武器装备，设计了一个极其大胆的诱捕计划。他将负伤的侦察兵亮亮（刘奕铁 饰）作为诱饵，吸引狙击五班来到了他精心布置的陷阱中央。                                                                      　　寒冷肃杀的战场上，一场静默的较量即将展开……
35505100,这个杀手不太冷静,2022,邢文雄,邢文雄,马丽 / 魏翔 / 陈明昊 / 周大勇 / 黄才伦 / 艾伦 / 高海宝 / 韩德笑 / 孙贵权 / 许猛 / 全容杓 / 卜俊男 / 张志忠 / 张建新 / 马驰 / 陶亮 / 詹卢卡·佐帕,喜剧,中国大陆,汉语普通话,2022-02-01(中国大陆),109分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2814949620.webp,6.1,魏成功（魏翔 饰）非常热爱表演，然而其貌不扬的他往往只能够在电影里觅得一个跑龙套的角色，可即便如此，魏成功还是无比认真的对待着自己的每一个甚至连名字都没有的角色，这股子劲头引起了当红女明星米兰（马丽 饰）的注意。                                                                      　　米兰的弟弟米勒（黄才伦 饰）是一名电影导演，黑帮大佬哈维（陈明昊 饰）给他的电影投资了不菲的资金，哪知道亏得底裤都不剩，哈维一直爱慕着米兰，想要娶她为妻，可是米兰誓死不从。这一天，当哈维决定和姐弟两算总账之际，米兰告诉哈维自己认识他一直想要寻找的杀手卡尔（艾伦 饰）。哈维给了米兰一天的时间，让他把卡尔带到自己面前，实际上并不认识卡尔的米兰决定让魏成功来扮演这位冷酷的杀手。
35613853,长津湖之水门桥,2022,徐克,兰晓龙 / 黄建新,吴京 / 易烊千玺 / 朱亚文 / 李晨 / 韩东君 / 张涵予 / 耿乐 / 杜淳 / 段奕宏 / 胡军 / 王丽坤 / 杨一威 / 李卓扬 / 何跃飞 / 唐志强 / 刘治威 / 庄小龙 / 辛玉波 / 张跃 / 许明虎 / 王宁 / 王振威 / 陈泽轩 / 李小锋 / 詹姆斯·菲尔伯德 / 约翰·克鲁兹,剧情 / 历史 / 战争,中国大陆 / 中国香港,汉语普通话,2022-02-01(中国大陆),149分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2846021991.webp,7.2,电影以抗美援朝战争第二次战役中的长津湖战役为背景，讲述了在结束了新兴里和下碣隅里的战斗之后，七连战士们又接到了更艰巨的任务……
35513968,交换人生,2023,苏伦,苏伦,雷佳音 / 张小斐 / 张宥浩 / 沙溢 / 刘敏涛 / 余皑磊 / 丁嘉丽 / 吴彦姝 / 杨恩又 / 曹桐睿 / 岳云鹏 / 杨迪 / 徐志胜 / 宋家腾 / 赖晓生 / 裴魁山 / 蒋赟 / 维维 / 傅首尔 / 王莎莎,喜剧 / 家庭 / 奇幻,中国大陆,汉语普通话,2023-01-22(中国大陆),110分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2886396440.webp,5.0,如果交换人生会交换家人，你还愿意吗？仲达（雷佳音 饰）与金好（张小斐 饰）相亲后，意外和暗恋金好的少年陆小谷（张宥浩 饰）换身，并误打误撞交换了家人，开启了令人捧腹有笑有泪的奇“换”之旅……
35372742,无名,2023,程耳,程耳,梁朝伟 / 王一博 / 周迅 / 黄磊 / 森博之 / 大鹏 / 王传君 / 江疏影 / 张婧仪 / 周生昊 / 董易 / 古川岳史 / 彭广 / 赵左 / 高曙光 / 美浓轮泰史 / 金子浩拓 / 三浦研一 / 吴映 / 李欣 / 徐婧荧,剧情 / 悬疑 / 历史,中国大陆,汉语普通话 / 沪语 / 粤语 / 日语,2023-01-22(中国大陆) / 2025-08-02(中国大陆重映),128分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2923651715.webp,6.6,20世纪40年代，上海正处于孤岛时期。各方势力犬牙交错，他们有姓无名，从不同的立场影响着历史走向。设在租界的76号特务机关，是听命于汪伪政府并服务日本帝国主义的邪恶机构。76号的主任何先生（梁朝伟 饰）巧舌如簧，粉饰太平，周游于日本特务机关长渡部（森博之 饰）和投机分子唐部长（大鹏 饰）中间，而他的微笑背后似乎别有深意。特务人员王先生（王传君 饰）和叶先生（王一博 饰）是一对听命于政治强权的好友，几具日本人的尸体，让他们的命运开始转向。承受不住革命的重压和死亡的威胁，原地下党成员张先生（黄磊 饰）突然叛变，他的变节使诡局走向激化。                                                                      　　命运多舛，弃生向死，向死而生！
35267208,流浪地球2,2023,郭帆,杨治学 / 龚格尔 / 郭帆 / 叶濡畅,吴京 / 刘德华 / 李雪健 / 沙溢 / 宁理 / 王智 / 朱颜曼滋 / 安地 / 王若熹 / 佟丽娅 / 伟大力 / 张衣 / 天使 / 克拉拉 / 叶展飞 / 倪腾 / 胡先煦 / 霍青 / 刘寅 / 国义骞 / 吴恩璇 / 王红卫 / 孔大山 / 徐建 / 刘佳沄 / 丁燕来 / 郜昂 / 严华 / 李仁 / 洪真 / 王磊 / 王一通 / 杨洪涛 / 赵叶索 / 李路琦 / 黄纪渊 / 郑楚一 / 吴静一 / 付嘉灏 / 瓦伦廷·沃罗布耶夫 / 李一冉 / 周强 / 朱超艺 / 何金和龙 / 何金和金 / 张涛 / 向进 / 李沛东,科幻 / 冒险 / 灾难,中国大陆,汉语普通话 / 俄语 / 英语 / 印地语 / 法语 / 葡萄牙语 / 日语 / 韩语 / 泰语 / 南非荷兰语,2023-01-22(中国大陆) / 2024-09-15(中国大陆重映),173分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2916835424.webp,8.3,在并不遥远的未来，太阳急速衰老与膨胀，再过几百年整个太阳系将被它吞噬毁灭。为了应对这场史无前例的危机，地球各国放下芥蒂，成立联合政府，试图寻找人类存续的出路。通过摸索与考量，最终推着地球逃出太阳系的“移山计划”获得压倒性胜利。人们着手建造上万台巨大的行星发动机，带着地球踏上漫漫征程。满腔赤诚的刘培强（吴京 饰）和韩朵朵（王智 饰）历经层层考验成为航天员大队的一员，并由此相知相恋。但是漫漫征途的前方，仿佛有一股神秘的力量不断破坏者人类的自救计划。看似渺小的刘培强、量子科学家图恒宇（刘德华 饰）、联合政府中国代表周喆直（李雪健 饰）以及无数平凡的地球人，构成了这项伟大计划的重要一环……                                                                      　　本片根据刘慈欣同名科幻小说改编。
