movie_id,片名,年份,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,海报URL,豆瓣评分,剧情简介
26649682,深海,2023,田晓鹏,田晓鹏 / 田博,苏鑫 / 王亭文 / 滕奎兴 / 杨婷 / 吉静 / 郭浩然 / 田晓鹏 / 董一 / 方韬辰,动画 / 奇幻,中国大陆,汉语普通话,2023-01-22(中国大陆),112分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2885941329.webp,7.2,父母离异，家庭重组，亲情缺失。小女孩参宿（王亭文 配音）怯怯懦懦，脸上鲜有笑容。父亲（滕奎兴 配音）现在一心扑在新的妻子和出生不久的小弟弟身上，对她充满敷衍。远在他乡的母亲似乎开启了新的生活，拒绝对这个女儿施以哪怕一丁点的爱的恩惠。阴晦的日子里，参宿随同家人登上了六天七夜的海上游轮。狂风暴雨，怒浪滔天，女孩悲伤的心情被不断放大。当那团有如乱麻一般的龙卷风出现在海面时，母亲的歌声从远处传来，而参宿也消失在无尽的夜色之中。当她再度醒来时，发现自己身处海底的某个奇怪地方，光怪陆离的深海大饭店内，奇形怪状的食客们一边抱怨一边大快朵颐。而唯利是图的老板南河（苏鑫 配音）则自顾自做着他引以为豪的所谓创新菜。                                                                      　　参宿的到来，给南河带来了无穷的混乱与麻烦……
35766491,满江红,2023,张艺谋,陈宇 / 张艺谋,沈腾 / 易烊千玺 / 张译 / 雷佳音 / 岳云鹏 / 王佳怡 / 潘斌龙 / 余皑磊 / 郭京飞 / 欧豪 / 魏翔 / 张弛 / 黄炎 / 许静雅 / 蒋鹏宇 / 林博洋 / 飞凡 / 任思诺 / 陈永胜 / 张壹男,剧情 / 喜剧 / 悬疑 / 古装,中国大陆,汉语普通话 / 中国手语,2023-01-22(中国大陆),159分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2887555071.webp,6.9,南宋绍兴年间，一代忠良岳鹏举物故，引无数良臣赤子扼腕叹息。四年后，奸相秦桧（雷佳音 饰）率兵与金国相约会谈。谁知会谈前夜，金国使者在秦桧驻地为人所害。事态紧急，亲兵营副统领孙均（易烊千玺 饰）得知小兵张大（沈腾 饰）了解线索，遂将其带到秦桧处。秦桧命二人一个时辰内找出真凶，否则一律处死。时间飞速流逝，舞姬瑶琴（王佳怡 饰）、更夫丁三旺（潘斌龙 饰）、马夫刘喜（余皑磊 饰）接连卷入其中，而宰相府总管何立（张译 饰）与副总管武义淳（岳云鹏 饰）相继入场，又将这场波谲云诡的调查涂满血腥。                                                                      　　谁是真正凶手？他们行刺所为何事？奸相内心深处又藏着什么不可告人的秘密？
36123159,熊出没·伴我“熊芯”,2023,林永长 / 邵和麒,崔铁志 / 刘圳杰 / 徐芸,张秉君 / 谭笑 / 张伟 / 缪莹莹 / 贾晨露 / 聂吉轩 / 王天昊 / 张茗 / 王思雨,喜剧 / 科幻 / 动画,中国大陆,汉语普通话,2023-01-22(中国大陆),96分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2886535219.webp,7.2,一个普通的森林夜晚，对小熊大、小熊二宠爱有加的熊妈妈，在一场大火后离开了他们，两熊伤心不已……转眼多年过去，光头强带熊大熊二前往振兴岛参观机器人研究所，却意外得到了熊妈妈的线索，为此熊大、熊二一路探寻……熊妈当年为何不告而别？两熊最终是否能找到妈妈？迷雾重重的背后还有怎样的故事？一切谜团等待揭晓。
35494829,红毯先生,2023,宁浩,刘晓丹 / 王昂,刘德华 / 单立文 / 瑞玛·席丹 / 余伟国 / 宁浩 / 林熙蕾 / 梁家辉 / 杨千嬅 / 王晶 / 张子贤 / 刘漪琳 / 周炜 / 孙阳 / 薛宝鹤 / 马东,剧情 / 喜剧,中国大陆 / 中国香港,汉语普通话 / 粤语,2024-02-10(中国大陆点映) / 2024-03-15(中国大陆) / 2023-09-14(多伦多电影节) / 2023-10-14(平遥国际电影展),127分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2905249058.webp,6.5,香港天王巨星刘伟驰（刘德华 饰）从影四十年，一直渴望得影帝。他决定与导演林浩（宁浩 饰）合作拍摄农村题材影片，从而在电影节赢得国际声誉。为此，刘伟驰深入农村体验生活、亲自拉投资、拒绝用替身，却因此引发了一系列令人哭笑不得的荒诞闹剧，也展现了娱乐圈的众生百态。
36149032,我们一起摇太阳,2024,韩延,韩延 / 李亮文 / 王小艾 / 杨富芝,彭昱畅 / 李庚希 / 徐帆 / 高亚麟 / 刘丹 / 王迅 / 宋伊人 / 刘迅 / 李晨 / 杨玏 / 李建义 / 李晓川,剧情 / 爱情 / 家庭,中国大陆 / 中国香港,汉语普通话,2024-02-10(中国大陆点映) / 2024-03-30(中国大陆),129分钟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2904467472.webp,8.0,当“没头脑”吕途（彭昱畅 饰）遇上“不高兴”凌敏（李庚希 饰），两个身患重症却性格迥异的年轻人，因为“生命接力”的约定，阴差阳错地踏上了一段充满爱与力量的治愈之旅。                                                                      　　影片是韩延导演“生命三部曲”终章，部分取材于纪实报道文章《最功利的婚姻交易，最动情的永恒约定》。
36081094,热辣滚烫,2024,贾玲,贾玲 / 孙集斌 / 刘宏禄 / 郭宇鹏 / 卜钰,贾玲 / 雷佳音 / 张小斐 / 杨紫 / 沙溢 / 乔杉 / 李雪琴 / 马丽 / 魏翔 / 赵海燕 / 张琪 / 沈春阳 / 沈涛 / 许君聪 / 卜钰 / 朱天福 / 刘宏禄 / 张泰维 / 郭宇鹏 / 李海银 / 李国麟 / 张桂玲 / 孙婉竹 / 赵婷婷 / 法志远 / 姬晴 / 曹贺军 / 刘頔 / 贾文田 / 雷鸣武,剧情 / 喜剧 / 运动,中国大陆,汉语普通话,2024-02-10(中国大陆),129分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2904304396.webp,7.5,大学毕业后仅仅工作短暂的一段时间，杜乐莹（贾玲 饰）便退回家中，宅家长达十年之久。她无所事事，拒绝和外界做过多接触，甚至和家人的关系也变得紧张起来。在和离婚回到娘家的妹妹乐丹（张小斐 饰）一次激烈的冲突后，乐莹选择离家出走，并且在烧烤店找了服务员的工作勉强维生。爱情、亲情、人生，似乎一时间均跌入了谷底，而阴差阳错间乐莹又结识了落魄的拳击教练昊坤（雷佳音 饰）。她支持着他的梦想，彼此又不得不去面对残酷的现实。人生至暗时刻，随波逐流的女孩是否决心逆流而上？                                                                      　　本片改编自日本电影《百元之恋》。
36438166,熊出没·逆转时空,2024,林汇达,徐芸 / 万秦 / 蒋琳,谭笑 / 张秉君 / 张伟 / 张茗,喜剧 / 科幻 / 动画,中国大陆,汉语普通话,2024-02-10(中国大陆),108分钟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2902482452.webp,6.9,光头强是一名普通程序员，却常梦见陌生的森林和两头狗熊。直到他跟上司出访大客户，终于想起：他原是森林的小导游，偶然得到一次重新选择人生的机会。为了挽救旧时间线里的熊大熊二，光头强开始一场奇妙的时空冒险。
36208094,第二十条,2024,张艺谋,李萌 / 张艺谋,雷佳音 / 马丽 / 赵丽颖 / 高叶 / 刘耀文 / 王骁 / 陈明昊 / 潘斌龙 / 张译 / 范伟 / 于和伟 / 许亚军 / 李乃文 / 蒋奇明 / 阿如那 / 杨皓宇 / 许静雅 / 乔杉 / 蒋诗萌 / 王沛禄 / 丁勇岱 / 刘奕铁 / 陈宣菲 / 史彭元 / 李晓川 / 杨一威 / 许文赫 / 宋木子 / 多习 / 飞凡 / 蒋鹏宇 / 王乃训 / 陈永胜 / 张壹男 / 黄炎 / 宋家腾 / 林博洋 / 张磊 / 李鲲,剧情 / 喜剧 / 家庭,中国大陆,汉语普通话 / 中国手语,2024-02-10(中国大陆),141分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2903145026.webp,7.5,人过中年的检察官韩明（雷佳音 饰）早已没了往日的锋芒，每日里柴米油盐，鸡毛蒜皮，尽快从挂职转正是他最为关心的问题。在此期间，康村王永强（潘斌龙 饰）为保护哑巴妻子（赵丽颖 饰）捅伤村霸刘文经（阿如那 饰）的案件甚嚣尘上。刘的家人纠集村匪恶霸上访闹事，要求判处王死刑。韩明的初恋女友——女检察官吕玲玲（高叶 饰）顶住各方压力，执意要找到关系案件走向的重要证据。另一方面，韩的儿子韩雨辰（刘耀文 饰）为制止校园霸凌将学校张主任（张译 饰）儿子打伤，关于是否应该道歉，双方展开了拉锯战。                                                                      　　为了左右案件走向，康村人试图强迫王的妻子就范，矛盾逐渐升级……
36369452,飞驰人生2,2024,韩寒,韩寒,沈腾 / 范丞丞 / 尹正 / 张本煜 / 孙艺洲 / 魏翔 / 贾冰 / 郑恺 / 冯绍峰 / 黄景瑜 / 刘昊然 / 于适 / 胡先煦 / 阎鹤祥 / 周野芒 / 高华阳 / 孙强 / 范高翔 / 郝瀚,剧情 / 喜剧 / 运动,中国大陆,汉语普通话,2024-02-10(中国大陆),121分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2903066285.webp,7.6,五年前巴音布鲁克的悲壮一搏，传奇车手张驰（沈腾 饰）赢得了比赛，却输掉了一切。因铅封始终未能找到，他的成绩被组委会取消，为了谋生开办驾校又遭到网络恶意中伤，穷困潦倒，不闻一名。偶然的一天，一通电话让他重燃赛车手的热情。濒临停产的老头乐车厂厂长（贾冰 饰）是张驰的粉丝，他 主动提出赞助让张驰的车队去拼搏最后一届巴音布鲁克。老头乐的员工厉小海（范丞丞 饰）天赋出众，在张驰、孙宇强（尹正 饰）、记星（张本煜 饰）和万年不及格的菜鸟驾校学员刘显德（孙艺洲 饰）联合训练下，小海成长迅速。                                                                      　　只是通往胜利的道路充满艰辛与磨难，有的人过于理想，有的人太过现实……
34780991,哪吒之魔童闹海,2025,饺子,饺子,吕艳婷 / 囧森瑟夫 / 瀚墨 / 陈浩 / 绿绮 / 张珈铭 / 杨卫 / 王德顺 / 雨辰 / 李南 / 周泳汐 / 韩雨泽 / 南屿 / 张运气 / 杏林儿 / 王智行 / 张稷 / 良生 / 幻听 / 零柒 / 龚格尔 / 陈厚霖 / 小薇 / 饺子,剧情 / 喜剧 / 动画 / 奇幻,中国大陆,汉语普通话,2025-01-29(中国大陆),144分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2916323291.webp,8.4,天劫之后，哪吒、敖丙的灵魂虽保住了，但肉身很快会魂飞魄散。太乙真人打算用七色宝莲给二人重塑肉身。但是在重塑肉身的过程中却遇到重重困难，哪吒、敖丙的命运将走向何方？
36282639,唐探1900,2025,陈思诚 / 戴墨,陈思诚,王宝强 / 刘昊然 / 周润发 / 白客 / 张新成 / 岳云鹏 / 约翰·库萨克 / 安娜 / 太保 / 王雨甜 / 张傲月 / 柯国庆 / 萨姆·海登-史密斯 / 肖恩·科恩克 / 暗真 / 魏翔 / 尹正 / 奚美娟 / 李诚儒 / 小沈阳 / 冯文娟 / 桑平 / 曹瑞 / 王皓 / 陈创 / 蒋易 / 李宛妲,喜剧 / 动作 / 悬疑,中国大陆 / 中国香港,汉语普通话 / 英语,2025-01-29(中国大陆),136分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2917556416.webp,6.4,1900年，在美国旧金山唐人街，华裔印第安猎人阿鬼（王宝强 饰）与留美青年秦福（刘昊然 饰）因一场凶杀案偶然结识，误打误撞组成“唐人街神探”组合。开启了一场笑闹探案之旅……
30181250,封神第二部：战火西岐,2025,乌尔善,冉平 / 冉甲男 / 乌尔善 / 曹昇,黄渤 / 于适 / 那尔那茜 / 陈牧驰 / 费翔 / 娜然 / 吴兴国 / 韩鹏翼 / 此沙 / 武亚凡 / 夏雨 / 袁泉 / 冯绍峰 / 钱波 / 马文忠 / 巴雅尔图 / 僧格仁钦 / 艾力库 / 张艺泷 / 那音太 / 刘潮 / 吴汉坤 / 百力嘎 / 刘乐 / 陈坤 / 春晓 / 其勒木格 / 张雪菡 / 图门巴雅尔 / 李泽宇 / 杨大鹏,动作 / 战争 / 奇幻 / 古装,中国大陆,汉语普通话,2025-01-29(中国大陆),144分钟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2917559392.webp,5.7,姜子牙、姬发带队坚守西岐，家园保卫战一触即发！邓婵玉、闻仲奉商王殷寿之命，率魔家四将等殷商大军征伐西岐，西岐一方得殷郊、雷震子、杨戬、哪吒等相助，更聚全民之力守卫家园。兵戈相对、法术交锋，两大阵营掀起强强对决，关于“封神榜” 的争夺正在继续......
36289423,射雕英雄传：侠之大者,2025,徐克,徐克 / 宋譞,肖战 / 庄达菲 / 梁家辉 / 张文昕 / 巴雅尔图 / 阿如那 / 蔡少芬 / 胡军 / 吴兴国 / 纳仁巴特尔 / 依特格勒 / 李海涛 / 图门巴雅尔 / 威力斯 / 元彬 / 杜玉明 / 释彦能 / 许明虎 / 李晨 / 李欣阳 / 孙建魁 / 徐向东 / 王涌澄 / 刘占领,武侠,中国大陆,汉语普通话 / 蒙语,2025-01-29(中国大陆),146分钟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2917502509.webp,5.2,恩怨情仇的江湖，权势角力的战乱时代，郭靖（肖战 饰）童年离别家乡，逐渐炼就可改变局面和命运的庞大力量。虽受高人赏识和器重，得传天下绝世武功“九阴真经”和“降龙十八掌”，却惹来各方嫉忌，成为众矢之的。                                                                      　　郭靖，不亢不卑，怀赤子之心，与黄蓉（庄达菲 饰）在铁骑箭雨和硝烟旌旗中，力挽狂澜，保护南宋边关。                                                                      　　雕海苍穹，勇者无惧，侠之大者，力拔山河，成就武林传说。                                                                      　　本片主要改编自金庸同名原著第34至40章。
36970301,熊出没·重启未来,2025,林永长 / 瞿才佳,徐芸 / 崔铁志 / 刘圳杰,谭笑 / 张秉君 / 张伟 / 刘思奇,剧情 / 喜剧 / 科幻 / 动画,中国大陆,汉语普通话,2025-01-29(中国大陆),108分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2917469446.webp,7.1,熊大、熊二、光头强意外地和来自未来世界的小亮一起穿越到100年后：世界发生巨大灾变，孢子植物全面侵占，人类在末日中艰难求生，整个地球危在旦夕！而这一切的罪魁祸首竟是......光头强？！                                                                      　　100年前究竟发生了什么？小亮是敌是友？光头强为何背负恶名？人类命运最终会走向何方？熊强三人组能否穿透这层层迷雾，重启未来？
35295960,蛟龙行动,2025,林超贤,谭宇力 / 王圣博 / 冯骥,黄轩 / 于适 / 张涵予 / 段奕宏 / 王俊凯 / 杜江 / 李晨 / 王彦霖 / 蒋璐霞 / 韩东君 / 李九霄 / 高戈 / 孙毅 / 于震 / 袁文康 / 叶禾 / 翟宇佳 / 李璟羿 / 王子宸 / 郭洺宇 / 杜晓帆 / 杜燕歌,剧情 / 动作 / 战争,中国大陆,汉语普通话 / 英语,2025-01-29(中国大陆) / 2025-08-30(中国大陆重映),130分钟(特别版),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2924184687.webp,6.2,未来某日，中国海军截获关键情报——一艘超级潜艇正密谋一项针对我国东南沿海城市的绝密军事计划。我方派出最新型潜艇“龙鲸号”，与蛟龙小队协同作战。海底战场险象环生，蛟龙遭遇重重陷阱，潜艇与敌多番埋伏周旋，更驶入海底火山口遍布的广袤深海，一场惊心动魄、攸关生死存亡的深海决战拉开帷幕……                                                                      　　该影片为《红海行动》续作。
37375594,夜王,2026,吴炜伦,吴炜伦 / 何妙祺 / 张云青,黄子华 / 郑秀文 / 王丹妮 / 廖子妤 / 杨伟伦 / 谢君豪 / 卢镇业 / 何启华 / 杨偲泳 / 谭旻萱 / 李芯駖 / 林熙彤 / 邓丽英 / 蔡蕙琪 / 黄洁琪 / 赵君瑜 / 王紫影 / 黎纪君 / 董玮 / 甄懋强 / 许素莹 / 张可坚 / 徐浩昌 / 陈献略 / 邱颂伟 / 苏民峰 / 麦子云 / 廖颖琛,剧情 / 喜剧,中国大陆 / 中国香港,粤语 / 汉语普通话,2026-02-20(中国大陆) / 2026-02-17(中国香港),133分钟(中国大陆),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2929673775.webp,7.8,尖东“夜场传奇”欢哥（黄子华 饰）万万没想到，中年最大危机是被收购，空降新上司竟是自己的霸道前妻V姐（郑秀文 饰）。前妻变上司，夜场秒变修罗场，欢哥和团队成员为保饭碗，花招频出，却发现背后是更大的资本收割棋局。夜场灭灯在即，昔日冤家从“互怼”变“盟友”，与东日仝人使出浑身离谱解数，誓与资本硬杠到底！一场爆笑逆袭之战，即将开打......
37242440,惊蛰无声,2026,张艺谋,陈亮,易烊千玺 / 朱一龙 / 宋佳 / 雷佳音 / 杨幂 / 张译 / 刘诗诗 / 刘耀文 / 林博洋 / 潘斌龙 / 姚安娜 / 段奕宏 / 陈明昊 / 江奇霖 / 王圣迪 / 黄炎 / 飞凡 / 蒋鹏宇 / 孟丹青,剧情 / 犯罪,中国大陆,汉语普通话,2026-02-17(中国大陆),104分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2929759786.webp,5.9,你看不见的地方，谍战从未停止交锋！我国最新战机的涉密信息外泄，国家安全面临威胁，国安小组迅速行动抓捕间谍，在信任与背叛的漩涡中，一场惊心博弈悄然上演……
37427493,熊出没·年年有熊,2026,林汇达,万秦 / 蒋琳 / 徐芸 / 王亦菲,张伟 / 张秉君 / 谭笑 / 王兵兵 / 聂吉轩 / 周子瑜 / 潘耀东 / 贺敬仁 / 贾晨露 / 张茗 / 王思雨 / 崔恩梓 / 李婉瑶 / 刘思奇 / 李芝恩 / 梁晨,喜剧 / 动画 / 奇幻,中国大陆,汉语普通话,2026-02-17(中国大陆),118分钟,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2930029531.webp,6.5,熊大曾是森林里的“老大哥”，直到一个不速之客到来，它将自己神力传给了熊强，熊大变成了三人组合内能力最弱者。为了改变现状，他步入了反派陷阱，引发了毁天灭地的危机......
36474027,镖人：风起大漠,2026,袁和平,俞白眉 / 苏照彬 / 陈大利 / 杨子,吴京 / 谢霆锋 / 于适 / 陈丽君 / 孙艺洲 / 此沙 / 李云霄 / 梁家辉 / 张晋 / 惠英红 / 张译 / 李连杰 / 刘耀文 / 熊瑾怡 / 莒谦朗 / 白那日苏 / 梁壁荧 / 文俊辉 / 董思成 / 林秋楠 / 景瓷 / 张艺泷 / 李嘉辉 / 寇占文 / 代乐乐 / 释彦能 / 徐向东 / 淳于珊珊 / 孟鹤堂 / 于荣光 / 陈少熙 / 赵箭 / 袁和平,动作 / 武侠 / 古装,中国大陆,汉语普通话,2026-02-17(中国大陆),126分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2929760596.webp,7.5,大漠之上，镖人、官府、西域五大家族等多方势力盘根错节、暗潮涌动。“天字第二号逃犯”刀马接下特殊押镖任务，和同伴一起从西域护镖远赴长安。不料，他们的护送对象竟是“天字第一号逃犯”知世郎……天下熙熙皆为利来，各方势力闻风入局，抢镖厮杀接连上演……
37311135,飞驰人生3,2026,韩寒,韩寒 / 周运海 / 蒙问雨,沈腾 / 尹正 / 黄景瑜 / 张本煜 / 魏翔 / 沙溢 / 范丞丞 / 孙艺洲 / 段奕宏 / 张新成 / 胡先煦 / 李治廷 / 白宇帆 / 周政杰 / 高华阳 / 刘巴特尔 / 何澳 / 贾冰 / 王安宇 / 陈永胜 / 冯绍峰 / 郝瀚,剧情 / 喜剧 / 运动,中国大陆,汉语普通话,2026-02-17(中国大陆),126分钟,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2929427346.webp,7.2,巴音布鲁克最后一站收官后，张驰（沈腾 饰）受邀作为车队主教练征战全新赛事“沐尘100拉力赛”，“野生车手”走上国际舞台！面对高手如云的全新赛道，孙宇强（尹正 饰）、记星（张本煜 饰）一如既往协同作战，林臻东（黄景瑜 饰）等实力车手应邀强势集结，一支凝聚了顶配速度与信念的车队就此成立！然而，张驰发现真正的挑战仿佛并非来自比赛本身，赛场之外暗流涌动，让他们飞驰之路充满变数……
